store_name,city_name,state_id,lat,lng
Safeway Colorado Springs 1466,Colorado Springs,CO,38.848,-104.773
Safeway Colorado Springs 2839,Colorado Springs,CO,38.924,-104.844
Monument at I-25,Monument,CO,39.096,-104.866
Safeway Monument 1440,Monument,CO,39.099,-104.866
Fillmore and Wood,Colorado Springs,CO,38.875,-104.826
Safeway Colorado Springs 812,Colorado Springs,CO,38.864,-104.817
Union and Boulder,Colorado Springs,CO,38.839,-104.794
Garden of the Gods at Centenni,Colorado Springs,CO,38.896,-104.85
Fillmore and Centennial,Colorado Springs,CO,38.878,-104.846
King Soopers Colorado Springs,Colorado Springs,CO,38.877,-104.849
Hancock Expwy & S Academy Blvd,Colorado Springs,CO,38.79,-104.759
King Soopers Colorado Springs,Colorado Springs,CO,38.791,-104.76
The Antlers Wyndham Hotel,Colorado Springs,CO,38.834,-104.826
King Soopers Colorado Springs,Colorado Springs,CO,38.849,-104.847
Lake & Cheyenne Mountain,Colorado Springs,CO,38.795,-104.802
Mesa Ridge Pkwy & Fountain Mes,Fountain,CO,38.718,-104.7
Safeway Fountain 1975,Fountain,CO,38.716,-104.7
King Soopers Fountain 153,Fountain,CO,38.719,-104.712
Academy & Venetucci,Colorado Springs,CO,38.767,-104.784
Target Colorado Springs 739,Colorado Springs,CO,38.793,-104.802
Safeway Colorado Springs 2816,Colorado Springs,CO,38.806,-104.823
King Soopers Colorado Springs,Colorado Springs,CO,38.776,-104.812
Cheyenne Meadows,Colorado Springs,CO,38.776,-104.814
POST ACCESS Fort Carson Exchan,Fort Carson,CO,38.74,-104.798
Safeway Colorado Springs 1577,Colorado Springs,CO,38.767,-104.815
31st & Colorado-CO Springs,Colorado Springs,CO,38.854,-104.872
Safeway Colorado Springs 1286,Colorado Springs,CO,38.855,-104.877
Eagleridge & Elizabeth - Puebl,Pueblo,CO,38.32,-104.619
Hwy 50 and Outlook - Pueblo,Pueblo,CO,38.31,-104.627
Target Pueblo 0618,Pueblo,CO,38.303,-104.606
Safeway Pueblo West 1760,Pueblo West,CO,38.314,-104.729
4th and Abriendo,Pueblo,CO,38.266,-104.627
King Soopers Pueblo 12,Pueblo,CO,38.243,-104.645
Pueblo & Northern-Pueblo,Pueblo,CO,38.235,-104.665
Safeway Trinidad 722,Trinidad,CO,37.167,-104.509
King Soopers Cheyenne 79,Cheyenne,WY,41.161,-104.765
Dell Range and Windmill Rd,Cheyenne,WY,41.16,-104.779
Albertsons Cheyenne 0065,Cheyenne,WY,41.144,-104.769
Target Cheyenne 00224,Cheyenne,WY,41.162,-104.8
Yellowstone and Storey - Cheye,Cheyenne,WY,41.174,-104.829
Albertsons Cheyenne 0066,Cheyenne,WY,41.173,-104.83
21st & Central Avenue-Cheyenne,Cheyenne,WY,41.138,-104.817
Safeway Cheyenne 2667,Cheyenne,WY,41.111,-104.802
16th St and 21st Ave,Greeley,CO,40.413,-104.711
Safeway Greeley 2918,Greeley,CO,40.421,-104.736
University of Northern Colorad,Greeley,CO,40.401,-104.7
10th Street & 47th Ave-Greeley,Greeley,CO,40.422,-104.75
Hwy 34 BP & 11th Ave-Greeley,Greeley,CO,40.395,-104.697
King Soopers Greeley 11,Greeley,CO,40.405,-104.733
23rd Ave and 34th St.,Evans,CO,40.382,-104.716
King Soopers Greeley 117,Greeley,CO,40.42,-104.793
Target Greeley 1813,Greeley,CO,40.394,-104.75
Centerplace,Greeley,CO,40.396,-104.755
